Athlete,Event,Meet,Year,Competition,ResultTime,Rank,ReactionTime,Lane,Temperature,Humidity,Wind,Records,1000_split,2000_split,3000_split,4000_split,gender
Vivian Jepkemoi CHERUIYOT,5000m Women,Memorial Van Damme,2010,Diamond League,874.1,1,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Linet Chepkwemoi MASAI,5000m Women,Memorial Van Damme,2010,Diamond League,875.1,2,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Sentayehu EJIGU,5000m Women,Memorial Van Damme,2010,Diamond League,875.1,3,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Alemitu BEKELE,5000m Women,Memorial Van Damme,2010,Diamond League,876.8,4,,,15.0,88.0,,PB,175.2,354.2,531.9,709.1,1
Sally KIPYEGO,5000m Women,Memorial Van Damme,2010,Diamond League,878.6,5,,,15.0,88.0,,PB,175.2,354.2,531.9,709.1,1
Elvan ABEYLEGESSE,5000m Women,Memorial Van Damme,2010,Diamond League,879.6,6,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Sylvia Jebiwot KIBET,5000m Women,Memorial Van Damme,2010,Diamond League,879.8,7,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Ines CHENONGE,5000m Women,Memorial Van Damme,2010,Diamond League,883.1,8,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Meselech MELKAMU,5000m Women,Memorial Van Damme,2010,Diamond League,884.3,9,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Molly HUDDLE,5000m Women,Memorial Van Damme,2010,Diamond League,884.8,10,,,15.0,88.0,,AR,175.2,354.2,531.9,709.1,1
Stephanie TWELL,5000m Women,Memorial Van Damme,2010,Diamond League,894.1,11,,,15.0,88.0,,PB,175.2,354.2,531.9,709.1,1
Mercy CHERONO,5000m Women,Memorial Van Damme,2010,Diamond League,898.9,12,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Esther CHEMTAI,5000m Women,Memorial Van Damme,2010,Diamond League,899.7,13,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Eliud KIPCHOGE,5000m Men,Doha Diamond League,2010,Diamond League,771.2,1,,,31.0,30.0,,WL,151.8,305.5,460.1,619.2,0
Vincent Kiprop CHEPKOK,5000m Men,Doha Diamond League,2010,Diamond League,771.5,2,,,31.0,30.0,,PB,151.8,305.5,460.1,619.2,0
Imane MERGA,5000m Men,Doha Diamond League,2010,Diamond League,785.2,3,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Chakir BOUJATTAOUI,5000m Men,Doha Diamond League,2010,Diamond League,785.7,4,,,31.0,30.0,,PB,151.8,305.5,460.1,619.2,0
Essa Ismail RASHED,5000m Men,Doha Diamond League,2010,Diamond League,789.0,5,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Teklemariam MEDHIN,5000m Men,Doha Diamond League,2010,Diamond League,797.9,6,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Ahmad Hassan ABDULLAH,5000m Men,Doha Diamond League,2010,Diamond League,799.0,7,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Abera KUMA,5000m Men,Doha Diamond League,2010,Diamond League,800.8,8,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Joseph EBUYA,5000m Men,Doha Diamond League,2010,Diamond League,812.8,9,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Daniel Kipchirchir KOMEN,5000m Men,Doha Diamond League,2010,Diamond League,813.4,10,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Mark Kosgei KIPTOO,5000m Men,Doha Diamond League,2010,Diamond League,814.6,11,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Amanuel MESEL,5000m Men,Doha Diamond League,2010,Diamond League,829.4,12,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Tariku BEKELE,5000m Men,Prefontaine Classic,2010,Diamond League,778.9,1,,,20.0,43.0,,MR,155.4,310.1,469.1,628.5,0
Dejen GEBREMESKEL,5000m Men,Prefontaine Classic,2010,Diamond League,779.3,2,,,20.0,43.0,,PB,155.4,310.1,469.1,628.5,0
Imane MERGA,5000m Men,Prefontaine Classic,2010,Diamond League,780.2,3,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Eliud KIPCHOGE,5000m Men,Prefontaine Classic,2010,Diamond League,781.2,4,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Bekana DABA,5000m Men,Prefontaine Classic,2010,Diamond League,785.3,5,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Mathew KISORIO,5000m Men,Prefontaine Classic,2010,Diamond League,787.3,6,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Chris SOLINSKY,5000m Men,Prefontaine Classic,2010,Diamond League,788.1,7,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Daniel Lemashon SALEL,5000m Men,Prefontaine Classic,2010,Diamond League,789.8,8,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Collis BIRMINGHAM,5000m Men,Prefontaine Classic,2010,Diamond League,791.0,9,,,20.0,43.0,,PB,155.4,310.1,469.1,628.5,0
Josphat Kipkoech BETT,5000m Men,Prefontaine Classic,2010,Diamond League,791.6,10,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Abera KUMA,5000m Men,Prefontaine Classic,2010,Diamond League,791.9,11,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Hosea MACHARINYANG,5000m Men,Prefontaine Classic,2010,Diamond League,801.0,12,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Matt TEGENKAMP,5000m Men,Prefontaine Classic,2010,Diamond League,805.1,13,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Juan Luis BARRIOS,5000m Men,Prefontaine Classic,2010,Diamond League,810.1,14,,,20.0,43.0,,SB,155.4,310.1,469.1,628.5,0
Leonard Patrick KOMON,5000m Men,Prefontaine Classic,2010,Diamond League,811.7,15,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Tirunesh DIBABA,5000m Women,Prefontaine Classic,2010,Diamond League,874.1,1,,,18.0,55.0,,MR,171.3,350.8,529.3,706.4,1
Shalane FLANAGAN,5000m Women,Prefontaine Classic,2010,Diamond League,889.1,2,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Sally KIPYEGO,5000m Women,Prefontaine Classic,2010,Diamond League,894.5,3,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Pauline Chemning KORIKWIANG,5000m Women,Prefontaine Classic,2010,Diamond League,895.3,4,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Amy YODER-BEGLEY,5000m Women,Prefontaine Classic,2010,Diamond League,896.7,5,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Wude AYALEW,5000m Women,Prefontaine Classic,2010,Diamond League,902.5,6,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Megan WRIGHT,5000m Women,Prefontaine Classic,2010,Diamond League,921.7,7,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Jennifer RHINES,5000m Women,Prefontaine Classic,2010,Diamond League,922.0,8,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Desiree DAVILA,5000m Women,Prefontaine Classic,2010,Diamond League,929.8,9,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Lauren FLESHMAN,5000m Women,Prefontaine Classic,2010,Diamond League,933.3,10,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Renee BAILLIE,5000m Women,Prefontaine Classic,2010,Diamond League,942.0,11,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Amy HASTINGS,5000m Women,Prefontaine Classic,2010,Diamond League,999.8,12,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Tirunesh DIBABA,5000m Women,London Athletics Meet,2010,Diamond League,876.4,1,,,16.0,68.0,,,179.6,355.8,534.2,712.3,1
Vivian Jepkemoi CHERUIYOT,5000m Women,London Athletics Meet,2010,Diamond League,878.2,2,,,16.0,68.0,,,179.6,355.8,534.2,712.3,1
Sentayehu EJIGU,5000m Women,London Athletics Meet,2010,Diamond League,879.2,3,,,16.0,68.0,,,179.6,355.8,534.2,712.3,1
Sally KIPYEGO,5000m Women,London Athletics Meet,2010,Diamond League,881.9,4,,,16.0,68.0,,PB,179.6,355.8,534.2,712.3,1
Linet Chepkwemoi MASAI,5000m Women,London Athletics Meet,2010,Diamond League,882.4,5,,,16.0,68.0,,,179.6,355.8,534.2,712.3,1
Pauline Chemning KORIKWIANG,5000m Women,London Athletics Meet,2010,Diamond League,886.8,6,,,16.0,68.0,,SB,179.6,355.8,534.2,712.3,1
Emebet ANTENEH,5000m Women,London Athletics Meet,2010,Diamond League,892.5,7,,,16.0,68.0,,,179.6,355.8,534.2,712.3,1
Mercy CHERONO,5000m Women,London Athletics Meet,2010,Diamond League,893.6,8,,,16.0,68.0,,,179.6,355.8,534.2,712.3,1
Molly HUDDLE,5000m Women,London Athletics Meet,2010,Diamond League,897.9,9,,,16.0,68.0,,,179.6,355.8,534.2,712.3,1
Jessica AUGUSTO,5000m Women,London Athletics Meet,2010,Diamond League,905.0,10,,,16.0,68.0,,,179.6,355.8,534.2,712.3,1
Lauren FLESHMAN,5000m Women,London Athletics Meet,2010,Diamond League,913.1,11,,,16.0,68.0,,SB,179.6,355.8,534.2,712.3,1
Florence KIPLAGAT,5000m Women,London Athletics Meet,2010,Diamond League,923.0,12,,,16.0,68.0,,,179.6,355.8,534.2,712.3,1
Alice Aprot NAWOWUNA,5000m Women,London Athletics Meet,2010,Diamond League,923.6,13,,,16.0,68.0,,,179.6,355.8,534.2,712.3,1
Freya MURRAY,5000m Women,London Athletics Meet,2010,Diamond League,946.0,14,,,16.0,68.0,,,179.6,355.8,534.2,712.3,1
Emily PIDGEON,5000m Women,London Athletics Meet,2010,Diamond League,954.0,15,,,16.0,68.0,,,179.6,355.8,534.2,712.3,1
Tirunesh DIBABA,5000m Women,Adidas Grand Prix,2010,Diamond League,911.3,1,,,25.0,60.0,,,175.1,362.3,559.0,746.0,1
Sentayehu EJIGU,5000m Women,Adidas Grand Prix,2010,Diamond League,913.0,2,,,25.0,60.0,,,175.1,362.3,559.0,746.0,1
Sule UTURA,5000m Women,Adidas Grand Prix,2010,Diamond League,916.6,3,,,25.0,60.0,,,175.1,362.3,559.0,746.0,1
Sally KIPYEGO,5000m Women,Adidas Grand Prix,2010,Diamond League,918.5,4,,,25.0,60.0,,,175.1,362.3,559.0,746.0,1
Amy YODER-BEGLEY,5000m Women,Adidas Grand Prix,2010,Diamond League,919.0,5,,,25.0,60.0,,,175.1,362.3,559.0,746.0,1
Megan WRIGHT,5000m Women,Adidas Grand Prix,2010,Diamond League,919.3,6,,,25.0,60.0,,,175.1,362.3,559.0,746.0,1
Pauline Chemning KORIKWIANG,5000m Women,Adidas Grand Prix,2010,Diamond League,923.8,7,,,25.0,60.0,,,175.1,362.3,559.0,746.0,1
Aheza KIROS,5000m Women,Adidas Grand Prix,2010,Diamond League,929.2,8,,,25.0,60.0,,,175.1,362.3,559.0,746.0,1
Desiree DAVILA,5000m Women,Adidas Grand Prix,2010,Diamond League,949.4,9,,,25.0,60.0,,PB,175.1,362.3,559.0,746.0,1
Jennifer RHINES,5000m Women,Adidas Grand Prix,2010,Diamond League,961.8,10,,,25.0,60.0,,,175.1,362.3,559.0,746.0,1
Eloise WELLINGS,5000m Women,Adidas Grand Prix,2010,Diamond League,971.6,11,,,25.0,60.0,,,175.1,362.3,559.0,746.0,1
Imane MERGA,5000m Men,Bislett Games,2010,Diamond League,773.8,1,,,17.0,49.0,,PB,152.8,308.0,465.6,624.4,0
Tariku BEKELE,5000m Men,Bislett Games,2010,Diamond League,774.0,2,,,17.0,49.0,,,152.8,308.0,465.6,624.4,0
Bernard LAGAT,5000m Men,Bislett Games,2010,Diamond League,774.1,3,,,17.0,49.0,,AR,152.8,308.0,465.6,624.4,0
Lucas Kimeli ROTICH,5000m Men,Bislett Games,2010,Diamond League,775.1,4,,,17.0,49.0,,PB,152.8,308.0,465.6,624.4,0
Vincent Kiprop CHEPKOK,5000m Men,Bislett Games,2010,Diamond League,776.3,5,,,17.0,49.0,,,152.8,308.0,465.6,624.4,0
Chris SOLINSKY,5000m Men,Bislett Games,2010,Diamond League,776.7,6,,,17.0,49.0,,PB,152.8,308.0,465.6,624.4,0
Aelemayehu BEZABEH,5000m Men,Bislett Games,2010,Diamond League,777.3,7,,,17.0,49.0,,NR,152.8,308.0,465.6,624.4,0
Matthew Kipkoech KISORIO,5000m Men,Bislett Games,2010,Diamond League,777.8,8,,,17.0,49.0,,PB,152.8,308.0,465.6,624.4,0
Bekana DABA,5000m Men,Bislett Games,2010,Diamond League,778.5,9,,,17.0,49.0,,PB,152.8,308.0,465.6,624.4,0
Leonard Patrick KOMON,5000m Men,Bislett Games,2010,Diamond League,779.1,10,,,17.0,49.0,,,152.8,308.0,465.6,624.4,0
Saif Saaeed SHAHEEN,5000m Men,Bislett Games,2010,Diamond League,780.3,11,,,17.0,49.0,,,152.8,308.0,465.6,624.4,0
Edwin Cheruiyot SOI,5000m Men,Bislett Games,2010,Diamond League,787.7,12,,,17.0,49.0,,,152.8,308.0,465.6,624.4,0
Daniel Lemashon SALEL,5000m Men,Bislett Games,2010,Diamond League,788.2,13,,,17.0,49.0,,PB,152.8,308.0,465.6,624.4,0
Eliud KIPCHOGE,5000m Men,Bislett Games,2010,Diamond League,789.9,14,,,17.0,49.0,,,152.8,308.0,465.6,624.4,0
Abera KUMA,5000m Men,Bislett Games,2010,Diamond League,790.9,15,,,17.0,49.0,,PB,152.8,308.0,465.6,624.4,0
Yusuf Kibet BIWOTT,5000m Men,Bislett Games,2010,Diamond League,795.3,16,,,17.0,49.0,,,152.8,308.0,465.6,624.4,0
Ayele ABSHIRO,5000m Men,Bislett Games,2010,Diamond League,798.4,17,,,17.0,49.0,,,152.8,308.0,465.6,624.4,0
Arado Urige BUTA,5000m Men Nordic,Bislett Games,2010,Diamond League,838.5,1,,,21.0,26.0,,,168.7,335.5,503.4,672.3,0
John Sompol MNANGAT,5000m Men Nordic,Bislett Games,2010,Diamond League,841.2,2,,,21.0,26.0,,,168.7,335.5,503.4,672.3,0
Daabayaa BADHASO,5000m Men Nordic,Bislett Games,2010,Diamond League,861.1,3,,,21.0,26.0,,,168.7,335.5,503.4,672.3,0
Lars Erik MALDE,5000m Men Nordic,Bislett Games,2010,Diamond League,870.1,4,,,21.0,26.0,,,168.7,335.5,503.4,672.3,0
Joachim BRÃ˜NDBO,5000m Men Nordic,Bislett Games,2010,Diamond League,871.5,5,,,21.0,26.0,,,168.7,335.5,503.4,672.3,0
Audun NORDTVEIT,5000m Men Nordic,Bislett Games,2010,Diamond League,873.6,6,,,21.0,26.0,,,168.7,335.5,503.4,672.3,0
TJELTA Asle R.,5000m Men Nordic,Bislett Games,2010,Diamond League,884.7,7,,,21.0,26.0,,,168.7,335.5,503.4,672.3,0
Anton DANIELSON,5000m Men Nordic,Bislett Games,2010,Diamond League,884.8,8,,,21.0,26.0,,,168.7,335.5,503.4,672.3,0
HÃ¥kon BROX,5000m Men Nordic,Bislett Games,2010,Diamond League,886.9,9,,,21.0,26.0,,,168.7,335.5,503.4,672.3,0
Petter EGGAN,5000m Men Nordic,Bislett Games,2010,Diamond League,887.5,10,,,21.0,26.0,,,168.7,335.5,503.4,672.3,0
AsbjÃ¸rn Ellefsen PERSEN,5000m Men Nordic,Bislett Games,2010,Diamond League,892.7,11,,,21.0,26.0,,,168.7,335.5,503.4,672.3,0
Anders Huun MONSEN,5000m Men Nordic,Bislett Games,2010,Diamond League,899.2,12,,,21.0,26.0,,,168.7,335.5,503.4,672.3,0
Ola SAKSHAUG,5000m Men Nordic,Bislett Games,2010,Diamond League,903.3,13,,,21.0,26.0,,,168.7,335.5,503.4,672.3,0
Vivian Jepkemoi CHERUIYOT,5000m Women,Meeting de Paris,2010,Diamond League,867.4,1,,,24.0,47.0,,WL|MR,171.0,346.9,528.2,702.4,1
Sentayehu EJIGU,5000m Women,Meeting de Paris,2010,Diamond League,868.4,2,,,24.0,47.0,,PB,171.0,346.9,528.2,702.4,1
Elvan ABEYLEGESSE,5000m Women,Meeting de Paris,2010,Diamond League,871.5,3,,,24.0,47.0,,SB,171.0,346.9,528.2,702.4,1
Meselech MELKAMU,5000m Women,Meeting de Paris,2010,Diamond League,872.7,4,,,24.0,47.0,,,171.0,346.9,528.2,702.4,1
Jessica AUGUSTO,5000m Women,Meeting de Paris,2010,Diamond League,877.1,5,,,24.0,47.0,,PB,171.0,346.9,528.2,702.4,1
Ines CHENONGE,5000m Women,Meeting de Paris,2010,Diamond League,879.2,6,,,24.0,47.0,,PB,171.0,346.9,528.2,702.4,1
Margaret Wangari MURIUKI,5000m Women,Meeting de Paris,2010,Diamond League,890.7,7,,,24.0,47.0,,,171.0,346.9,528.2,702.4,1
Molly HUDDLE,5000m Women,Meeting de Paris,2010,Diamond League,891.8,8,,,24.0,47.0,,PB,171.0,346.9,528.2,702.4,1
Florence KIPLAGAT,5000m Women,Meeting de Paris,2010,Diamond League,892.6,9,,,24.0,47.0,,SB,171.0,346.9,528.2,702.4,1
Sylvia Jebiwot KIBET,5000m Women,Meeting de Paris,2010,Diamond League,894.7,10,,,24.0,47.0,,,171.0,346.9,528.2,702.4,1
Lisa KOLL,5000m Women,Meeting de Paris,2010,Diamond League,895.7,11,,,24.0,47.0,,PB,171.0,346.9,528.2,702.4,1
Belaynesh OLJIRA,5000m Women,Meeting de Paris,2010,Diamond League,898.2,12,,,24.0,47.0,,PB,171.0,346.9,528.2,702.4,1
Joanne PAVEY,5000m Women,Meeting de Paris,2010,Diamond League,902.3,13,,,24.0,47.0,,SB,171.0,346.9,528.2,702.4,1
Gladys CHEMWENO,5000m Women,Meeting de Paris,2010,Diamond League,903.9,14,,,24.0,47.0,,PB,171.0,346.9,528.2,702.4,1
RenÃ© KALMER,5000m Women,Meeting de Paris,2010,Diamond League,944.1,15,,,24.0,47.0,,SB,171.0,346.9,528.2,702.4,1
Imane MERGA,5000m Men,Golden Gala,2010,Diamond League,780.1,1,,,25.0,60.0,,,152.0,307.2,466.2,628.3,0
Sammy Alex MUTAHI,5000m Men,Golden Gala,2010,Diamond League,780.1,2,,,25.0,60.0,,PB,152.0,307.2,466.2,628.3,0
Moses Ndiema KIPSIRO,5000m Men,Golden Gala,2010,Diamond League,780.2,3,,,25.0,60.0,,,152.0,307.2,466.2,628.3,0
Tariku BEKELE,5000m Men,Golden Gala,2010,Diamond League,780.8,4,,,25.0,60.0,,,152.0,307.2,466.2,628.3,0
Vincent Kiprop CHEPKOK,5000m Men,Golden Gala,2010,Diamond League,781.4,5,,,25.0,60.0,,,152.0,307.2,466.2,628.3,0
Matthew Kipkoech KISORIO,5000m Men,Golden Gala,2010,Diamond League,782.7,6,,,25.0,60.0,,,152.0,307.2,466.2,628.3,0
Teklemariam MEDHIN,5000m Men,Golden Gala,2010,Diamond League,784.5,7,,,25.0,60.0,,PB,152.0,307.2,466.2,628.3,0
Bekana DABA,5000m Men,Golden Gala,2010,Diamond League,785.2,8,,,25.0,60.0,,,152.0,307.2,466.2,628.3,0
Leonard Patrick KOMON,5000m Men,Golden Gala,2010,Diamond League,787.8,9,,,25.0,60.0,,,152.0,307.2,466.2,628.3,0
Abera KUMA,5000m Men,Golden Gala,2010,Diamond League,787.8,10,,,25.0,60.0,,PB,152.0,307.2,466.2,628.3,0
Lucas Kimeli ROTICH,5000m Men,Golden Gala,2010,Diamond League,791.7,11,,,25.0,60.0,,,152.0,307.2,466.2,628.3,0
Eliud KIPCHOGE,5000m Men,Golden Gala,2010,Diamond League,798.3,12,,,25.0,60.0,,,152.0,307.2,466.2,628.3,0
Micah Kemboi KOGO,5000m Men,Golden Gala,2010,Diamond League,812.6,13,,,25.0,60.0,,,152.0,307.2,466.2,628.3,0
Mark Kosgei KIPTOO,5000m Men,BAUHAUS-galan,2010,Diamond League,773.5,1,,,19.0,74.0,,PB,153.1,306.6,465.2,624.4,0
Dejen GEBREMESKEL,5000m Men,BAUHAUS-galan,2010,Diamond League,773.6,2,,,19.0,74.0,,PB,153.1,306.6,465.2,624.4,0
Imane MERGA,5000m Men,BAUHAUS-galan,2010,Diamond League,773.6,3,,,19.0,74.0,,PB,153.1,306.6,465.2,624.4,0
Eliud KIPCHOGE,5000m Men,BAUHAUS-galan,2010,Diamond League,774.4,4,,,19.0,74.0,,,153.1,306.6,465.2,624.4,0
Chris SOLINSKY,5000m Men,BAUHAUS-galan,2010,Diamond League,775.5,5,,,19.0,74.0,,PB,153.1,306.6,465.2,624.4,0
Vincent Kiprop CHEPKOK,5000m Men,BAUHAUS-galan,2010,Diamond League,778.2,6,,,19.0,74.0,,,153.1,306.6,465.2,624.4,0
Titus Kipjumba MBISHEI,5000m Men,BAUHAUS-galan,2010,Diamond League,780.0,7,,,19.0,74.0,,PB,153.1,306.6,465.2,624.4,0
Augustine Kiprono CHOGE,5000m Men,BAUHAUS-galan,2010,Diamond League,784.6,8,,,19.0,74.0,,,153.1,306.6,465.2,624.4,0
Thomas Pkemei LONGOSIWA,5000m Men,BAUHAUS-galan,2010,Diamond League,785.6,9,,,19.0,74.0,,SB,153.1,306.6,465.2,624.4,0
Vincent YATOR,5000m Men,BAUHAUS-galan,2010,Diamond League,786.2,10,,,19.0,74.0,,,153.1,306.6,465.2,624.4,0
Joseph EBUYA,5000m Men,BAUHAUS-galan,2010,Diamond League,793.1,11,,,19.0,74.0,,,153.1,306.6,465.2,624.4,0
Matthew Kipkoech KISORIO,5000m Men,BAUHAUS-galan,2010,Diamond League,794.7,12,,,19.0,74.0,,,153.1,306.6,465.2,624.4,0
Ed MORAN,5000m Men,BAUHAUS-galan,2010,Diamond League,800.2,13,,,19.0,74.0,,PB,153.1,306.6,465.2,624.4,0
James Kwalia C'KURUI,5000m Men,BAUHAUS-galan,2010,Diamond League,801.0,14,,,19.0,74.0,,,153.1,306.6,465.2,624.4,0
Juan VAN DEVENTER,5000m Men,BAUHAUS-galan,2010,Diamond League,802.6,15,,,19.0,74.0,,,153.1,306.6,465.2,624.4,0
Yusuf Kibet BIWOTT,5000m Men,BAUHAUS-galan,2010,Diamond League,805.0,16,,,19.0,74.0,,,153.1,306.6,465.2,624.4,0
Lucas Kimeli ROTICH,5000m Men,BAUHAUS-galan,2010,Diamond League,811.9,17,,,19.0,74.0,,,153.1,306.6,465.2,624.4,0
Collis BIRMINGHAM,5000m Men,BAUHAUS-galan,2010,Diamond League,812.0,18,,,19.0,74.0,,,153.1,306.6,465.2,624.4,0
Meseret DEFAR,5000m Women,BAUHAUS-galan,2010,Diamond League,882.5,1,,,19.0,74.0,,,171.8,345.0,521.7,709.5,1
Alemitu BEKELE,5000m Women,BAUHAUS-galan,2010,Diamond League,882.6,2,,,19.0,74.0,,PB,171.8,345.0,521.7,709.5,1
Emebet ANTENEH,5000m Women,BAUHAUS-galan,2010,Diamond League,895.6,3,,,19.0,74.0,,,171.8,345.0,521.7,709.5,1
Sule UTURA,5000m Women,BAUHAUS-galan,2010,Diamond League,896.2,4,,,19.0,74.0,,,171.8,345.0,521.7,709.5,1
Margaret Wangari MURIUKI,5000m Women,BAUHAUS-galan,2010,Diamond League,897.3,5,,,19.0,74.0,,,171.8,345.0,521.7,709.5,1
Alice Aprot NAWOWUNA,5000m Women,BAUHAUS-galan,2010,Diamond League,916.7,6,,,19.0,74.0,,PB,171.8,345.0,521.7,709.5,1
Jennifer RHINES,5000m Women,BAUHAUS-galan,2010,Diamond League,950.6,8,,,19.0,74.0,,,171.8,345.0,521.7,709.5,1
Tariku BEKELE,5000m Men,Weltklasse Zurich,2010,Diamond League,775.0,1,,,20.0,73.0,,,152.2,306.9,464.8,624.0,0
Imane MERGA,5000m Men,Weltklasse Zurich,2010,Diamond League,776.3,2,,,20.0,73.0,,,152.2,306.9,464.8,624.0,0
Chris SOLINSKY,5000m Men,Weltklasse Zurich,2010,Diamond League,776.5,3,,,20.0,73.0,,,152.2,306.9,464.8,624.0,0
Vincent Kiprop CHEPKOK,5000m Men,Weltklasse Zurich,2010,Diamond League,777.8,4,,,20.0,73.0,,,152.2,306.9,464.8,624.0,0
Mohamed FARAH,5000m Men,Weltklasse Zurich,2010,Diamond League,777.9,5,,,20.0,73.0,,NR,152.2,306.9,464.8,624.0,0
Edwin Cheruiyot SOI,5000m Men,Weltklasse Zurich,2010,Diamond League,778.9,6,,,20.0,73.0,,SB,152.2,306.9,464.8,624.0,0
Moses Ndiema MASAI,5000m Men,Weltklasse Zurich,2010,Diamond League,782.5,7,,,20.0,73.0,,,152.2,306.9,464.8,624.0,0
Vincent YATOR,5000m Men,Weltklasse Zurich,2010,Diamond League,784.5,8,,,20.0,73.0,,PB,152.2,306.9,464.8,624.0,0
Lucas Kimeli ROTICH,5000m Men,Weltklasse Zurich,2010,Diamond League,784.9,9,,,20.0,73.0,,,152.2,306.9,464.8,624.0,0
David Kiprotich BETT,5000m Men,Weltklasse Zurich,2010,Diamond League,786.1,10,,,20.0,73.0,,PB,152.2,306.9,464.8,624.0,0
Eliud KIPCHOGE,5000m Men,Weltklasse Zurich,2010,Diamond League,787.1,11,,,20.0,73.0,,,152.2,306.9,464.8,624.0,0
Galen RUPP,5000m Men,Weltklasse Zurich,2010,Diamond League,787.3,12,,,20.0,73.0,,PB,152.2,306.9,464.8,624.0,0
Titus Kipjumba MBISHEI,5000m Men,Weltklasse Zurich,2010,Diamond League,793.8,13,,,20.0,73.0,,,152.2,306.9,464.8,624.0,0
Jacob CHESHARI,5000m Men,Weltklasse Zurich,2010,Diamond League,795.9,14,,,20.0,73.0,,,152.2,306.9,464.8,624.0,0
Sammy Alex MUTAHI,5000m Men,Weltklasse Zurich,2010,Diamond League,796.6,15,,,20.0,73.0,,,152.2,306.9,464.8,624.0,0
Chris THOMPSON,5000m Men,Weltklasse Zurich,2010,Diamond League,808.4,16,,,20.0,73.0,,,152.2,306.9,464.8,624.0,0
Mohamed FARAH,5000m Men,British Grand Prix,2011,Diamond League,786.1,1,,,16.0,86.0,,,156.7,317.8,480.8,641.5,0
Galen RUPP,5000m Men,British Grand Prix,2011,Diamond League,786.9,2,,,16.0,86.0,,PB,156.7,317.8,480.8,641.5,0
Imane MERGA,5000m Men,British Grand Prix,2011,Diamond League,787.6,3,,,16.0,86.0,,,156.7,317.8,480.8,641.5,0
Yenew ALAMIREW,5000m Men,British Grand Prix,2011,Diamond League,788.8,4,,,16.0,86.0,,,156.7,317.8,480.8,641.5,0
JesÃºs ESPAÃ‘A,5000m Men,British Grand Prix,2011,Diamond League,790.2,5,,,16.0,86.0,,PB,156.7,317.8,480.8,641.5,0
Craig MOTTRAM,5000m Men,British Grand Prix,2011,Diamond League,791.5,6,,,16.0,86.0,,SB,156.7,317.8,480.8,641.5,0
Abera KUMA,5000m Men,British Grand Prix,2011,Diamond League,792.4,7,,,16.0,86.0,,,156.7,317.8,480.8,641.5,0
Collis BIRMINGHAM,5000m Men,British Grand Prix,2011,Diamond League,795.7,8,,,16.0,86.0,,SB,156.7,317.8,480.8,641.5,0
Alistair Ian CRAGG,5000m Men,British Grand Prix,2011,Diamond League,796.8,9,,,16.0,86.0,,,156.7,317.8,480.8,641.5,0
Mumin GALA,5000m Men,British Grand Prix,2011,Diamond League,797.8,10,,,16.0,86.0,,NR,156.7,317.8,480.8,641.5,0
Sondre Nordstad MOEN,5000m Men,British Grand Prix,2011,Diamond League,810.2,11,,,16.0,86.0,,PB,156.7,317.8,480.8,641.5,0
Sindre BURAAS,5000m Men,British Grand Prix,2011,Diamond League,817.7,12,,,16.0,86.0,,,156.7,317.8,480.8,641.5,0
