1500_finish_s,3000_finish_s,5000_finish_s
210.55,452.93,3212.0
210.55,452.94,3239.0
210.56,452.97,3279.0
210.57,452.99,3279.0
210.58,453.0,3325.0
210.58,453.01,3383.0
210.58,453.02,3435.0
210.58,453.05,3435.0
210.59,453.06,3483.0
210.59,453.06,3552.0
210.59,453.07,3557.0
210.6,453.1,3559.0
210.6,453.13,3616.0
210.6,453.13,3622.0
210.61,453.14,3671.0
210.61,453.15,3672.0
210.61,453.15,3695.0
210.61,453.18,3706.0
210.61,453.2,3753.0
210.61,453.2,3764.0
210.62,453.2,3770.0
210.63,453.21,3772.0
210.63,453.23,3774.0
210.64,453.24,3814.0
210.64,453.26,3828.0
210.65,453.27,3832.0
210.66,453.28,3843.0
210.66,453.28,3847.0
210.67,453.3,3848.0
210.68,453.3,3858.0
210.69,453.32,3858.0
210.69,453.35,3860.0
210.69,453.36,3870.0
210.7,453.36,3872.0
210.71,453.37,3908.0
210.72,453.37,3916.0
210.72,453.37,4045.0
210.73,453.39,4050.0
210.73,453.39,4050.0
210.74,453.39,1215.0
210.74,453.42,1222.0
210.75,453.42,1266.0
210.75,453.43,1273.0
210.75,453.44,1320.0
210.76,453.46,1328.0
210.77,453.47,1331.0
210.77,453.49,1349.0
210.77,453.5,1354.0
210.77,453.51,1366.0
210.77,453.52,1406.0
210.77,453.52,1407.0
210.78,453.54,1425.0
210.78,453.56,1439.0
210.78,453.56,1447.0
210.78,453.62,1456.0
210.79,453.62,1457.0
210.8,453.64,1466.0
210.8,453.68,1467.0
210.8,453.68,1470.0
210.81,453.71,1490.0
210.82,453.71,1502.0
210.82,453.78,1518.0
210.82,453.79,1539.0
210.82,453.84,1548.0
210.83,453.85,1569.0
210.83,453.86,1574.0
210.84,453.87,1577.0
210.85,453.87,1598.0
210.86,453.88,1603.0
210.86,453.89,1606.0
210.87,453.91,1625.0
210.88,453.92,1634.0
210.88,453.92,1639.0
210.88,453.93,1669.0
210.88,453.93,1670.0
210.88,453.94,1674.0
210.88,453.95,1702.0
210.88,453.96,1727.0
210.89,453.96,1727.0
210.9,453.96,1768.0
210.9,454.0,1789.0
210.9,454.01,1793.0
210.9,454.02,1796.0
210.9,454.03,1815.0
210.91,454.03,1815.0
210.91,454.04,1816.0
210.92,454.06,1823.0
210.92,454.07,1849.0
210.92,454.12,1860.0
210.92,454.14,1863.0
210.93,454.15,1882.0
210.93,454.18,1921.0
210.94,454.26,1924.0
210.94,454.27,1924.0
210.94,454.28,1925.0
210.94,454.29,1965.0
210.95,454.32,1966.0
210.95,454.32,1982.0
210.95,454.36,1983.0
210.95,454.36,1992.0
210.96,454.37,1996.0
210.97,454.37,2001.0
210.97,454.4,2006.0
210.98,454.4,2006.0
210.99,454.41,2009.0
210.99,454.44,2012.0
210.99,454.46,2016.0
211.0,454.47,2016.0
211.0,454.48,2016.0
211.0,454.49,2024.0
211.0,454.49,2025.0
211.0,454.5,2029.0
211.01,454.54,2031.0
211.01,454.57,2031.0
211.01,454.57,2070.0
211.01,454.58,2072.0
211.01,454.59,2073.0
211.01,454.6,2086.0
211.01,454.62,2108.0
211.02,454.66,2112.0
211.02,454.66,2114.0
211.04,454.66,2138.0
211.04,454.67,2162.0
211.05,454.67,2174.0
211.05,454.69,2175.0
211.06,454.7,2176.0
211.06,454.7,2177.0
211.06,454.7,2177.0
211.06,454.71,2177.0
211.06,454.71,2192.0
211.07,454.72,2197.0
211.08,454.74,2200.0
211.08,454.74,2209.0
211.08,454.74,2219.0
211.08,454.75,2232.0
211.08,454.75,2248.0
211.09,454.77,2256.0
211.09,454.78,2287.0
211.1,454.79,2290.0
211.1,454.79,2293.0
211.1,454.8,2298.0
211.1,454.8,2300.0
211.1,454.82,2314.0
211.1,454.82,2321.0
211.1,454.83,2324.0
211.11,454.85,2341.0
211.12,454.86,2343.0
211.13,454.87,2357.0
211.13,454.87,2360.0
211.13,454.91,2372.0
