Athlete,Event,Meet,Year,Competition,ResultTime,Rank,ReactionTime,Lane,Temperature,Humidity,Wind,Records,1000_split,2000_split,3000_split,4000_split
Vivian Jepkemoi CHERUIYOT,5000m Women,Memorial Van Damme,2010,Diamond League,14:34.1,1,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Linet Chepkwemoi MASAI,5000m Women,Memorial Van Damme,2010,Diamond League,14:35.1,2,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Sentayehu EJIGU,5000m Women,Memorial Van Damme,2010,Diamond League,14:35.1,3,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Alemitu BEKELE,5000m Women,Memorial Van Damme,2010,Diamond League,14:36.8,4,,,15,88,,PB,02:55.2,05:54.2,08:51.9,11:49.1
Sally KIPYEGO,5000m Women,Memorial Van Damme,2010,Diamond League,14:38.6,5,,,15,88,,PB,02:55.2,05:54.2,08:51.9,11:49.1
Elvan ABEYLEGESSE,5000m Women,Memorial Van Damme,2010,Diamond League,14:39.6,6,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Sylvia Jebiwot KIBET,5000m Women,Memorial Van Damme,2010,Diamond League,14:39.8,7,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Ines CHENONGE,5000m Women,Memorial Van Damme,2010,Diamond League,14:43.1,8,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Meselech MELKAMU,5000m Women,Memorial Van Damme,2010,Diamond League,14:44.3,9,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Molly HUDDLE,5000m Women,Memorial Van Damme,2010,Diamond League,14:44.8,10,,,15,88,,AR,02:55.2,05:54.2,08:51.9,11:49.1
Stephanie TWELL,5000m Women,Memorial Van Damme,2010,Diamond League,14:54.1,11,,,15,88,,PB,02:55.2,05:54.2,08:51.9,11:49.1
Mercy CHERONO,5000m Women,Memorial Van Damme,2010,Diamond League,14:58.9,12,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Esther CHEMTAI,5000m Women,Memorial Van Damme,2010,Diamond League,14:59.7,13,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Lidia CHOJECKA,5000m Women,Memorial Van Damme,2010,Diamond League,DNF,0,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Lindsey DE GRANDE,5000m Women,Memorial Van Damme,2010,Diamond League,DNF,0,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Zakia Mrisho MOHAMED,5000m Women,Memorial Van Damme,2010,Diamond League,DNF,0,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Margaret Wangari MURIUKI,5000m Women,Memorial Van Damme,2010,Diamond League,DNF,0,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Eliud KIPCHOGE,5000m Men,Doha Diamond League,2010,Diamond League,12:51.2,1,,,31,30,,WL,02:31.8,05:05.5,07:40.1,10:19.2
Vincent Kiprop CHEPKOK,5000m Men,Doha Diamond League,2010,Diamond League,12:51.5,2,,,31,30,,PB,02:31.8,05:05.5,07:40.1,10:19.2
Imane MERGA,5000m Men,Doha Diamond League,2010,Diamond League,13:05.2,3,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Chakir BOUJATTAOUI,5000m Men,Doha Diamond League,2010,Diamond League,13:05.7,4,,,31,30,,PB,02:31.8,05:05.5,07:40.1,10:19.2
Essa Ismail RASHED,5000m Men,Doha Diamond League,2010,Diamond League,13:09.0,5,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Teklemariam MEDHIN,5000m Men,Doha Diamond League,2010,Diamond League,13:17.9,6,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Ahmad Hassan ABDULLAH,5000m Men,Doha Diamond League,2010,Diamond League,13:19.0,7,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Abera KUMA,5000m Men,Doha Diamond League,2010,Diamond League,13:20.8,8,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Joseph EBUYA,5000m Men,Doha Diamond League,2010,Diamond League,13:32.8,9,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Daniel Kipchirchir KOMEN,5000m Men,Doha Diamond League,2010,Diamond League,13:33.4,10,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Mark Kosgei KIPTOO,5000m Men,Doha Diamond League,2010,Diamond League,13:34.6,11,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Amanuel MESEL,5000m Men,Doha Diamond League,2010,Diamond League,13:49.4,12,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Mohammed ALI ABOOSH,5000m Men,Doha Diamond League,2010,Diamond League,DNF,0,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Tariku BEKELE,5000m Men,Doha Diamond League,2010,Diamond League,DNF,0,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Kamal BOULAHFANE,5000m Men,Doha Diamond League,2010,Diamond League,DNF,0,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Dejen GEBREMESKEL,5000m Men,Doha Diamond League,2010,Diamond League,DNF,0,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Suleiman SIMOTWO,5000m Men,Doha Diamond League,2010,Diamond League,DNF,0,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Bekana DABA,5000m Men,Doha Diamond League,2010,Diamond League,DNS,0,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Nicholas KEMBOI,5000m Men,Doha Diamond League,2010,Diamond League,DNS,0,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Tariku BEKELE,5000m Men,Prefontaine Classic,2010,Diamond League,12:58.9,1,,,20,43,,MR,02:35.4,05:10.1,07:49.1,10:28.5
Dejen GEBREMESKEL,5000m Men,Prefontaine Classic,2010,Diamond League,12:59.3,2,,,20,43,,PB,02:35.4,05:10.1,07:49.1,10:28.5
Imane MERGA,5000m Men,Prefontaine Classic,2010,Diamond League,13:00.2,3,,,20,43,,,02:35.4,05:10.1,07:49.1,10:28.5
Eliud KIPCHOGE,5000m Men,Prefontaine Classic,2010,Diamond League,13:01.2,4,,,20,43,,,02:35.4,05:10.1,07:49.1,10:28.5
Bekana DABA,5000m Men,Prefontaine Classic,2010,Diamond League,13:05.3,5,,,20,43,,,02:35.4,05:10.1,07:49.1,10:28.5
Mathew KISORIO,5000m Men,Prefontaine Classic,2010,Diamond League,13:07.3,6,,,20,43,,,02:35.4,05:10.1,07:49.1,10:28.5
Chris SOLINSKY,5000m Men,Prefontaine Classic,2010,Diamond League,13:08.1,7,,,20,43,,,02:35.4,05:10.1,07:49.1,10:28.5
Daniel Lemashon SALEL,5000m Men,Prefontaine Classic,2010,Diamond League,13:09.8,8,,,20,43,,,02:35.4,05:10.1,07:49.1,10:28.5
Collis BIRMINGHAM,5000m Men,Prefontaine Classic,2010,Diamond League,13:11.0,9,,,20,43,,PB,02:35.4,05:10.1,07:49.1,10:28.5
Josphat Kipkoech BETT,5000m Men,Prefontaine Classic,2010,Diamond League,13:11.6,10,,,20,43,,,02:35.4,05:10.1,07:49.1,10:28.5
Abera KUMA,5000m Men,Prefontaine Classic,2010,Diamond League,13:11.9,11,,,20,43,,,02:35.4,05:10.1,07:49.1,10:28.5
Hosea MACHARINYANG,5000m Men,Prefontaine Classic,2010,Diamond League,13:21.0,12,,,20,43,,,02:35.4,05:10.1,07:49.1,10:28.5
Matt TEGENKAMP,5000m Men,Prefontaine Classic,2010,Diamond League,13:25.1,13,,,20,43,,,02:35.4,05:10.1,07:49.1,10:28.5
Juan Luis BARRIOS,5000m Men,Prefontaine Classic,2010,Diamond League,13:30.1,14,,,20,43,,SB,02:35.4,05:10.1,07:49.1,10:28.5
Leonard Patrick KOMON,5000m Men,Prefontaine Classic,2010,Diamond League,13:31.7,15,,,20,43,,,02:35.4,05:10.1,07:49.1,10:28.5
Sammy Alex MUTAHI,5000m Men,Prefontaine Classic,2010,Diamond League,DNF,0,,,20,43,,,02:35.4,05:10.1,07:49.1,10:28.5
Aron RONO,5000m Men,Prefontaine Classic,2010,Diamond League,DNF,0,,,20,43,,,02:35.4,05:10.1,07:49.1,10:28.5
Ben TRUE,5000m Men,Prefontaine Classic,2010,Diamond League,DNF,0,,,20,43,,,02:35.4,05:10.1,07:49.1,10:28.5
Lachlan RENSHAW,5000m Men,Prefontaine Classic,2010,Diamond League,DNS,0,,,20,43,,,02:35.4,05:10.1,07:49.1,10:28.5
Tirunesh DIBABA,5000m Women,Prefontaine Classic,2010,Diamond League,14:34.1,1,,,18,55,,MR,02:51.3,05:50.8,08:49.3,11:46.4
Shalane FLANAGAN,5000m Women,Prefontaine Classic,2010,Diamond League,14:49.1,2,,,18,55,,,02:51.3,05:50.8,08:49.3,11:46.4
Sally KIPYEGO,5000m Women,Prefontaine Classic,2010,Diamond League,14:54.5,3,,,18,55,,,02:51.3,05:50.8,08:49.3,11:46.4
Pauline Chemning KORIKWIANG,5000m Women,Prefontaine Classic,2010,Diamond League,14:55.3,4,,,18,55,,,02:51.3,05:50.8,08:49.3,11:46.4
Amy YODER-BEGLEY,5000m Women,Prefontaine Classic,2010,Diamond League,14:56.7,5,,,18,55,,,02:51.3,05:50.8,08:49.3,11:46.4
Wude AYALEW,5000m Women,Prefontaine Classic,2010,Diamond League,15:02.5,6,,,18,55,,,02:51.3,05:50.8,08:49.3,11:46.4
Megan WRIGHT,5000m Women,Prefontaine Classic,2010,Diamond League,15:21.7,7,,,18,55,,,02:51.3,05:50.8,08:49.3,11:46.4
Jennifer RHINES,5000m Women,Prefontaine Classic,2010,Diamond League,15:22.0,8,,,18,55,,,02:51.3,05:50.8,08:49.3,11:46.4
Desiree DAVILA,5000m Women,Prefontaine Classic,2010,Diamond League,15:29.8,9,,,18,55,,,02:51.3,05:50.8,08:49.3,11:46.4
Lauren FLESHMAN,5000m Women,Prefontaine Classic,2010,Diamond League,15:33.3,10,,,18,55,,,02:51.3,05:50.8,08:49.3,11:46.4
Renee BAILLIE,5000m Women,Prefontaine Classic,2010,Diamond League,15:42.0,11,,,18,55,,,02:51.3,05:50.8,08:49.3,11:46.4
Amy HASTINGS,5000m Women,Prefontaine Classic,2010,Diamond League,16:39.8,12,,,18,55,,,02:51.3,05:50.8,08:49.3,11:46.4
Carrie DIMOFF,5000m Women,Prefontaine Classic,2010,Diamond League,DNF,0,,,18,55,,,02:51.3,05:50.8,08:49.3,11:46.4
Julia HOWARD,5000m Women,Prefontaine Classic,2010,Diamond League,DNF,0,,,18,55,,,02:51.3,05:50.8,08:49.3,11:46.4
Treniere MOSER,5000m Women,Prefontaine Classic,2010,Diamond League,DNF,0,,,18,55,,,02:51.3,05:50.8,08:49.3,11:46.4
Eloise WELLINGS,5000m Women,Prefontaine Classic,2010,Diamond League,DNF,0,,,18,55,,,02:51.3,05:50.8,08:49.3,11:46.4
Tirunesh DIBABA,5000m Women,London Athletics Meet,2010,Diamond League,14:36.4,1,,,16,68,,,02:59.6,05:55.8,08:54.2,11:52.3
Vivian Jepkemoi CHERUIYOT,5000m Women,London Athletics Meet,2010,Diamond League,14:38.2,2,,,16,68,,,02:59.6,05:55.8,08:54.2,11:52.3
Sentayehu EJIGU,5000m Women,London Athletics Meet,2010,Diamond League,14:39.2,3,,,16,68,,,02:59.6,05:55.8,08:54.2,11:52.3
Sally KIPYEGO,5000m Women,London Athletics Meet,2010,Diamond League,14:41.9,4,,,16,68,,PB,02:59.6,05:55.8,08:54.2,11:52.3
Linet Chepkwemoi MASAI,5000m Women,London Athletics Meet,2010,Diamond League,14:42.4,5,,,16,68,,,02:59.6,05:55.8,08:54.2,11:52.3
Pauline Chemning KORIKWIANG,5000m Women,London Athletics Meet,2010,Diamond League,14:46.8,6,,,16,68,,SB,02:59.6,05:55.8,08:54.2,11:52.3
Emebet ANTENEH,5000m Women,London Athletics Meet,2010,Diamond League,14:52.5,7,,,16,68,,,02:59.6,05:55.8,08:54.2,11:52.3
Mercy CHERONO,5000m Women,London Athletics Meet,2010,Diamond League,14:53.6,8,,,16,68,,,02:59.6,05:55.8,08:54.2,11:52.3
Molly HUDDLE,5000m Women,London Athletics Meet,2010,Diamond League,14:57.9,9,,,16,68,,,02:59.6,05:55.8,08:54.2,11:52.3
Jessica AUGUSTO,5000m Women,London Athletics Meet,2010,Diamond League,15:05.0,10,,,16,68,,,02:59.6,05:55.8,08:54.2,11:52.3
Lauren FLESHMAN,5000m Women,London Athletics Meet,2010,Diamond League,15:13.1,11,,,16,68,,SB,02:59.6,05:55.8,08:54.2,11:52.3
Florence KIPLAGAT,5000m Women,London Athletics Meet,2010,Diamond League,15:23.0,12,,,16,68,,,02:59.6,05:55.8,08:54.2,11:52.3
Alice Aprot NAWOWUNA,5000m Women,London Athletics Meet,2010,Diamond League,15:23.6,13,,,16,68,,,02:59.6,05:55.8,08:54.2,11:52.3
Freya MURRAY,5000m Women,London Athletics Meet,2010,Diamond League,15:46.0,14,,,16,68,,,02:59.6,05:55.8,08:54.2,11:52.3
Emily PIDGEON,5000m Women,London Athletics Meet,2010,Diamond League,15:54.0,15,,,16,68,,,02:59.6,05:55.8,08:54.2,11:52.3
Renata PLIS,5000m Women,London Athletics Meet,2010,Diamond League,DNF,0,,,16,68,,,02:59.6,05:55.8,08:54.2,11:52.3
Tirunesh DIBABA,5000m Women,Adidas Grand Prix,2010,Diamond League,15:11.3,1,,,25,60,,,02:55.1,06:02.3,09:19.0,12:26.0
Sentayehu EJIGU,5000m Women,Adidas Grand Prix,2010,Diamond League,15:13.0,2,,,25,60,,,02:55.1,06:02.3,09:19.0,12:26.0
Sule UTURA,5000m Women,Adidas Grand Prix,2010,Diamond League,15:16.6,3,,,25,60,,,02:55.1,06:02.3,09:19.0,12:26.0
Sally KIPYEGO,5000m Women,Adidas Grand Prix,2010,Diamond League,15:18.5,4,,,25,60,,,02:55.1,06:02.3,09:19.0,12:26.0
Amy YODER-BEGLEY,5000m Women,Adidas Grand Prix,2010,Diamond League,15:19.0,5,,,25,60,,,02:55.1,06:02.3,09:19.0,12:26.0
Megan WRIGHT,5000m Women,Adidas Grand Prix,2010,Diamond League,15:19.3,6,,,25,60,,,02:55.1,06:02.3,09:19.0,12:26.0
Pauline Chemning KORIKWIANG,5000m Women,Adidas Grand Prix,2010,Diamond League,15:23.8,7,,,25,60,,,02:55.1,06:02.3,09:19.0,12:26.0
Aheza KIROS,5000m Women,Adidas Grand Prix,2010,Diamond League,15:29.2,8,,,25,60,,,02:55.1,06:02.3,09:19.0,12:26.0
Desiree DAVILA,5000m Women,Adidas Grand Prix,2010,Diamond League,15:49.4,9,,,25,60,,PB,02:55.1,06:02.3,09:19.0,12:26.0
Jennifer RHINES,5000m Women,Adidas Grand Prix,2010,Diamond League,16:01.8,10,,,25,60,,,02:55.1,06:02.3,09:19.0,12:26.0
Eloise WELLINGS,5000m Women,Adidas Grand Prix,2010,Diamond League,16:11.6,11,,,25,60,,,02:55.1,06:02.3,09:19.0,12:26.0
Renee BAILLIE,5000m Women,Adidas Grand Prix,2010,Diamond League,DNF,0,,,25,60,,,02:55.1,06:02.3,09:19.0,12:26.0
Sylwia EJDYS,5000m Women,Adidas Grand Prix,2010,Diamond League,DNF,0,,,25,60,,,02:55.1,06:02.3,09:19.0,12:26.0
Marina MUNCAN,5000m Women,Adidas Grand Prix,2010,Diamond League,DNF,0,,,25,60,,,02:55.1,06:02.3,09:19.0,12:26.0
Imane MERGA,5000m Men,Bislett Games,2010,Diamond League,12:53.8,1,,,17,49,,PB,02:32.8,05:08.0,07:45.6,10:24.4
Tariku BEKELE,5000m Men,Bislett Games,2010,Diamond League,12:54.0,2,,,17,49,,,02:32.8,05:08.0,07:45.6,10:24.4
Bernard LAGAT,5000m Men,Bislett Games,2010,Diamond League,12:54.1,3,,,17,49,,AR,02:32.8,05:08.0,07:45.6,10:24.4
Lucas Kimeli ROTICH,5000m Men,Bislett Games,2010,Diamond League,12:55.1,4,,,17,49,,PB,02:32.8,05:08.0,07:45.6,10:24.4
Vincent Kiprop CHEPKOK,5000m Men,Bislett Games,2010,Diamond League,12:56.3,5,,,17,49,,,02:32.8,05:08.0,07:45.6,10:24.4
Chris SOLINSKY,5000m Men,Bislett Games,2010,Diamond League,12:56.7,6,,,17,49,,PB,02:32.8,05:08.0,07:45.6,10:24.4
Aelemayehu BEZABEH,5000m Men,Bislett Games,2010,Diamond League,12:57.3,7,,,17,49,,NR,02:32.8,05:08.0,07:45.6,10:24.4
Matthew Kipkoech KISORIO,5000m Men,Bislett Games,2010,Diamond League,12:57.8,8,,,17,49,,PB,02:32.8,05:08.0,07:45.6,10:24.4
Bekana DABA,5000m Men,Bislett Games,2010,Diamond League,12:58.5,9,,,17,49,,PB,02:32.8,05:08.0,07:45.6,10:24.4
Leonard Patrick KOMON,5000m Men,Bislett Games,2010,Diamond League,12:59.1,10,,,17,49,,,02:32.8,05:08.0,07:45.6,10:24.4
Saif Saaeed SHAHEEN,5000m Men,Bislett Games,2010,Diamond League,13:00.3,11,,,17,49,,,02:32.8,05:08.0,07:45.6,10:24.4
Edwin Cheruiyot SOI,5000m Men,Bislett Games,2010,Diamond League,13:07.7,12,,,17,49,,,02:32.8,05:08.0,07:45.6,10:24.4
Daniel Lemashon SALEL,5000m Men,Bislett Games,2010,Diamond League,13:08.2,13,,,17,49,,PB,02:32.8,05:08.0,07:45.6,10:24.4
Eliud KIPCHOGE,5000m Men,Bislett Games,2010,Diamond League,13:09.9,14,,,17,49,,,02:32.8,05:08.0,07:45.6,10:24.4
Abera KUMA,5000m Men,Bislett Games,2010,Diamond League,13:10.9,15,,,17,49,,PB,02:32.8,05:08.0,07:45.6,10:24.4
Yusuf Kibet BIWOTT,5000m Men,Bislett Games,2010,Diamond League,13:15.3,16,,,17,49,,,02:32.8,05:08.0,07:45.6,10:24.4
Ayele ABSHIRO,5000m Men,Bislett Games,2010,Diamond League,13:18.4,17,,,17,49,,,02:32.8,05:08.0,07:45.6,10:24.4
Bethwell BIRGEN,5000m Men,Bislett Games,2010,Diamond League,DNF,0,,,17,49,,,02:32.8,05:08.0,07:45.6,10:24.4
James Kwalia C'KURUI,5000m Men,Bislett Games,2010,Diamond League,DNF,0,,,17,49,,,02:32.8,05:08.0,07:45.6,10:24.4
Markos GENETI,5000m Men,Bislett Games,2010,Diamond League,DNF,0,,,17,49,,,02:32.8,05:08.0,07:45.6,10:24.4
Remmy Limo NDIWA,5000m Men,Bislett Games,2010,Diamond League,DNF,0,,,17,49,,,02:32.8,05:08.0,07:45.6,10:24.4
Arado Urige BUTA,5000m Men Nordic,Bislett Games,2010,Diamond League,13:58.5,1,,,21,26,,,02:48.7,05:35.5,08:23.4,11:12.3
John Sompol MNANGAT,5000m Men Nordic,Bislett Games,2010,Diamond League,14:01.2,2,,,21,26,,,02:48.7,05:35.5,08:23.4,11:12.3
Daabayaa BADHASO,5000m Men Nordic,Bislett Games,2010,Diamond League,14:21.1,3,,,21,26,,,02:48.7,05:35.5,08:23.4,11:12.3
Lars Erik MALDE,5000m Men Nordic,Bislett Games,2010,Diamond League,14:30.1,4,,,21,26,,,02:48.7,05:35.5,08:23.4,11:12.3
Joachim BRÃ˜NDBO,5000m Men Nordic,Bislett Games,2010,Diamond League,14:31.5,5,,,21,26,,,02:48.7,05:35.5,08:23.4,11:12.3
Audun NORDTVEIT,5000m Men Nordic,Bislett Games,2010,Diamond League,14:33.6,6,,,21,26,,,02:48.7,05:35.5,08:23.4,11:12.3
TJELTA Asle R.,5000m Men Nordic,Bislett Games,2010,Diamond League,14:44.7,7,,,21,26,,,02:48.7,05:35.5,08:23.4,11:12.3
Anton DANIELSON,5000m Men Nordic,Bislett Games,2010,Diamond League,14:44.8,8,,,21,26,,,02:48.7,05:35.5,08:23.4,11:12.3
HÃ¥kon BROX,5000m Men Nordic,Bislett Games,2010,Diamond League,14:46.9,9,,,21,26,,,02:48.7,05:35.5,08:23.4,11:12.3
Petter EGGAN,5000m Men Nordic,Bislett Games,2010,Diamond League,14:47.5,10,,,21,26,,,02:48.7,05:35.5,08:23.4,11:12.3
AsbjÃ¸rn Ellefsen PERSEN,5000m Men Nordic,Bislett Games,2010,Diamond League,14:52.7,11,,,21,26,,,02:48.7,05:35.5,08:23.4,11:12.3
Anders Huun MONSEN,5000m Men Nordic,Bislett Games,2010,Diamond League,14:59.2,12,,,21,26,,,02:48.7,05:35.5,08:23.4,11:12.3
Ola SAKSHAUG,5000m Men Nordic,Bislett Games,2010,Diamond League,15:03.3,13,,,21,26,,,02:48.7,05:35.5,08:23.4,11:12.3
Tommy Bernard LAITINEN,5000m Men Nordic,Bislett Games,2010,Diamond League,DNF,0,,,21,26,,,02:48.7,05:35.5,08:23.4,11:12.3
Vivian Jepkemoi CHERUIYOT,5000m Women,Meeting de Paris,2010,Diamond League,14:27.4,1,,,24,47,,WL|MR,02:51.0,05:46.9,08:48.2,11:42.4
Sentayehu EJIGU,5000m Women,Meeting de Paris,2010,Diamond League,14:28.4,2,,,24,47,,PB,02:51.0,05:46.9,08:48.2,11:42.4
Elvan ABEYLEGESSE,5000m Women,Meeting de Paris,2010,Diamond League,14:31.5,3,,,24,47,,SB,02:51.0,05:46.9,08:48.2,11:42.4
Meselech MELKAMU,5000m Women,Meeting de Paris,2010,Diamond League,14:32.7,4,,,24,47,,,02:51.0,05:46.9,08:48.2,11:42.4
Jessica AUGUSTO,5000m Women,Meeting de Paris,2010,Diamond League,14:37.1,5,,,24,47,,PB,02:51.0,05:46.9,08:48.2,11:42.4
Ines CHENONGE,5000m Women,Meeting de Paris,2010,Diamond League,14:39.2,6,,,24,47,,PB,02:51.0,05:46.9,08:48.2,11:42.4
Margaret Wangari MURIUKI,5000m Women,Meeting de Paris,2010,Diamond League,14:50.7,7,,,24,47,,,02:51.0,05:46.9,08:48.2,11:42.4
Molly HUDDLE,5000m Women,Meeting de Paris,2010,Diamond League,14:51.8,8,,,24,47,,PB,02:51.0,05:46.9,08:48.2,11:42.4
Florence KIPLAGAT,5000m Women,Meeting de Paris,2010,Diamond League,14:52.6,9,,,24,47,,SB,02:51.0,05:46.9,08:48.2,11:42.4
Sylvia Jebiwot KIBET,5000m Women,Meeting de Paris,2010,Diamond League,14:54.7,10,,,24,47,,,02:51.0,05:46.9,08:48.2,11:42.4
Lisa KOLL,5000m Women,Meeting de Paris,2010,Diamond League,14:55.7,11,,,24,47,,PB,02:51.0,05:46.9,08:48.2,11:42.4
Belaynesh OLJIRA,5000m Women,Meeting de Paris,2010,Diamond League,14:58.2,12,,,24,47,,PB,02:51.0,05:46.9,08:48.2,11:42.4
Joanne PAVEY,5000m Women,Meeting de Paris,2010,Diamond League,15:02.3,13,,,24,47,,SB,02:51.0,05:46.9,08:48.2,11:42.4
Gladys CHEMWENO,5000m Women,Meeting de Paris,2010,Diamond League,15:03.9,14,,,24,47,,PB,02:51.0,05:46.9,08:48.2,11:42.4
RenÃ© KALMER,5000m Women,Meeting de Paris,2010,Diamond League,15:44.1,15,,,24,47,,SB,02:51.0,05:46.9,08:48.2,11:42.4
Adrienne HERZOG,5000m Women,Meeting de Paris,2010,Diamond League,DNF,0,,,24,47,,,02:51.0,05:46.9,08:48.2,11:42.4
Zakia Mrisho MOHAMED,5000m Women,Meeting de Paris,2010,Diamond League,DNF,0,,,24,47,,,02:51.0,05:46.9,08:48.2,11:42.4
Mercy Wanjiku NJOROGE,5000m Women,Meeting de Paris,2010,Diamond League,DNF,0,,,24,47,,,02:51.0,05:46.9,08:48.2,11:42.4
Imane MERGA,5000m Men,Golden Gala,2010,Diamond League,13:00.1,1,,,25,60,,,02:32.0,05:07.2,07:46.2,10:28.3
Sammy Alex MUTAHI,5000m Men,Golden Gala,2010,Diamond League,13:00.1,2,,,25,60,,PB,02:32.0,05:07.2,07:46.2,10:28.3
Moses Ndiema KIPSIRO,5000m Men,Golden Gala,2010,Diamond League,13:00.2,3,,,25,60,,,02:32.0,05:07.2,07:46.2,10:28.3
Tariku BEKELE,5000m Men,Golden Gala,2010,Diamond League,13:00.8,4,,,25,60,,,02:32.0,05:07.2,07:46.2,10:28.3
Vincent Kiprop CHEPKOK,5000m Men,Golden Gala,2010,Diamond League,13:01.4,5,,,25,60,,,02:32.0,05:07.2,07:46.2,10:28.3
Matthew Kipkoech KISORIO,5000m Men,Golden Gala,2010,Diamond League,13:02.7,6,,,25,60,,,02:32.0,05:07.2,07:46.2,10:28.3
Teklemariam MEDHIN,5000m Men,Golden Gala,2010,Diamond League,13:04.5,7,,,25,60,,PB,02:32.0,05:07.2,07:46.2,10:28.3
Bekana DABA,5000m Men,Golden Gala,2010,Diamond League,13:05.2,8,,,25,60,,,02:32.0,05:07.2,07:46.2,10:28.3
Leonard Patrick KOMON,5000m Men,Golden Gala,2010,Diamond League,13:07.8,9,,,25,60,,,02:32.0,05:07.2,07:46.2,10:28.3
Abera KUMA,5000m Men,Golden Gala,2010,Diamond League,13:07.8,10,,,25,60,,PB,02:32.0,05:07.2,07:46.2,10:28.3
Lucas Kimeli ROTICH,5000m Men,Golden Gala,2010,Diamond League,13:11.7,11,,,25,60,,,02:32.0,05:07.2,07:46.2,10:28.3
Eliud KIPCHOGE,5000m Men,Golden Gala,2010,Diamond League,13:18.3,12,,,25,60,,,02:32.0,05:07.2,07:46.2,10:28.3
Micah Kemboi KOGO,5000m Men,Golden Gala,2010,Diamond League,13:32.6,13,,,25,60,,,02:32.0,05:07.2,07:46.2,10:28.3
Bethwell BIRGEN,5000m Men,Golden Gala,2010,Diamond League,DNF,0,,,25,60,,,02:32.0,05:07.2,07:46.2,10:28.3
Joseph EBUYA,5000m Men,Golden Gala,2010,Diamond League,DNF,0,,,25,60,,,02:32.0,05:07.2,07:46.2,10:28.3
Suleiman SIMOTWO,5000m Men,Golden Gala,2010,Diamond League,DNF,0,,,25,60,,,02:32.0,05:07.2,07:46.2,10:28.3
Mark Kosgei KIPTOO,5000m Men,BAUHAUS-galan,2010,Diamond League,12:53.5,1,,,19,74,,PB,02:33.1,05:06.6,07:45.2,10:24.4
Dejen GEBREMESKEL,5000m Men,BAUHAUS-galan,2010,Diamond League,12:53.6,2,,,19,74,,PB,02:33.1,05:06.6,07:45.2,10:24.4
Imane MERGA,5000m Men,BAUHAUS-galan,2010,Diamond League,12:53.6,3,,,19,74,,PB,02:33.1,05:06.6,07:45.2,10:24.4
Eliud KIPCHOGE,5000m Men,BAUHAUS-galan,2010,Diamond League,12:54.4,4,,,19,74,,,02:33.1,05:06.6,07:45.2,10:24.4
Chris SOLINSKY,5000m Men,BAUHAUS-galan,2010,Diamond League,12:55.5,5,,,19,74,,PB,02:33.1,05:06.6,07:45.2,10:24.4
Vincent Kiprop CHEPKOK,5000m Men,BAUHAUS-galan,2010,Diamond League,12:58.2,6,,,19,74,,,02:33.1,05:06.6,07:45.2,10:24.4
Titus Kipjumba MBISHEI,5000m Men,BAUHAUS-galan,2010,Diamond League,13:00.0,7,,,19,74,,PB,02:33.1,05:06.6,07:45.2,10:24.4
Augustine Kiprono CHOGE,5000m Men,BAUHAUS-galan,2010,Diamond League,13:04.6,8,,,19,74,,,02:33.1,05:06.6,07:45.2,10:24.4
Thomas Pkemei LONGOSIWA,5000m Men,BAUHAUS-galan,2010,Diamond League,13:05.6,9,,,19,74,,SB,02:33.1,05:06.6,07:45.2,10:24.4
Vincent YATOR,5000m Men,BAUHAUS-galan,2010,Diamond League,13:06.2,10,,,19,74,,,02:33.1,05:06.6,07:45.2,10:24.4
Joseph EBUYA,5000m Men,BAUHAUS-galan,2010,Diamond League,13:13.1,11,,,19,74,,,02:33.1,05:06.6,07:45.2,10:24.4
